sigma,Budget,Gamma,Lambda,Alpha,tr0,tr1,tr2,ts0,ts1,ts2,time
0.5,6930,0.01,0.0001,0.3,-1.74764960883e+13,6.25966604162e+31,6.25878984083e+31,6.25878984083e+31,6.25878984083e+31,6.25878984083e+31,7195.85226075
0.5,6930,0.01,0.0001,0.4,-3.85256943568e+13,2.12484881299e+29,2.12455138591e+29,2.12455138591e+29,2.12455138591e+29,2.12455138591e+29,7238.057028
0.5,6930,0.01,0.0001,0.6,-4.92479101977e+13,3.1679359793e+30,3.16749254542e+30,3.16749254542e+30,3.16749254542e+30,3.16749254542e+30,7050.24265525
0.5,6930,0.01,0.1,0.3,-3.51797285706e+13,2.10149094189e+32,1.85112388549e+32,1.85112388549e+32,1.85112388549e+32,1.85112388549e+32,7017.4103065
0.5,6930,0.01,0.1,0.4,-3.12614873927e+13,2.3208298768e+32,2.04433125714e+32,2.04433125714e+32,2.04433125714e+32,2.04433125714e+32,7768.8794725
0.5,6930,0.01,0.1,0.6,-3.5011931947e+13,1.02031001366e+32,8.98752499589e+31,8.98752499589e+31,8.98752499589e+31,8.98752499589e+31,7837.95798825
0.5,6930,0.01,0.3,0.3,-3.67941315029e+13,2.81233968946e+31,2.04052826837e+31,2.04052826837e+31,2.04052826837e+31,2.04052826837e+31,7812.3439305
0.5,6930,0.01,0.3,0.4,-4.33363676139e+14,4.60656701056e+37,3.34235236249e+37,3.34235236249e+37,3.34235236249e+37,3.34235236249e+37,7759.12413175
0.5,6930,0.01,0.3,0.6,-5.74991334926e+13,1.6791033535e+34,1.21829445823e+34,1.21829445823e+34,1.21829445823e+34,1.21829445823e+34,7793.708182
0.5,6930,0.1,0.0001,0.3,-4.25311323639e+13,3.3282109764e+31,3.32355957504e+31,3.32355957504e+31,3.32355957504e+31,3.32355957504e+31,7790.7271815
0.5,6930,0.1,0.0001,0.4,-2.18312469586e+13,4.10651726331e+31,4.10077812594e+31,4.10077812594e+31,4.10077812594e+31,4.10077812594e+31,7811.29366375
0.5,6930,0.1,0.0001,0.6,-2.2014402511e+13,1.99051643084e+32,1.98773454865e+32,1.98773454865e+32,1.98773454865e+32,1.98773454865e+32,7825.0650815
0.5,6930,0.1,0.1,0.3,-4.78702928442e+13,1.79867212715e+34,8.99351807981e+33,8.99351807981e+33,8.99351807981e+33,8.99351807981e+33,7848.95433975
0.5,6930,0.1,0.1,0.4,-3.04362676757e+13,1.00453587085e+35,5.02276728477e+34,5.02276728477e+34,5.02276728477e+34,5.02276728477e+34,7728.883607
0.5,6930,0.1,0.1,0.6,-9.59263593162e+14,1.7862593286e+38,8.9314530005e+37,8.9314530005e+37,8.9314530005e+37,8.9314530005e+37,7729.99038625
0.5,6930,0.1,0.3,0.3,2.21682915366e+14,8.50579004702e+36,2.99923381112e+36,2.99923381112e+36,2.99923381112e+36,2.99923381112e+36,7681.6678165
0.5,6930,0.1,0.3,0.4,-3.84610402424e+13,2.40931774804e+32,8.49551565666e+31,8.49551565666e+31,8.49551565666e+31,8.49551565666e+31,7632.135832
0.5,6930,0.1,0.3,0.6,-4.08575640895e+13,1.93576004714e+33,6.82569984858e+32,6.82569984858e+32,6.82569984858e+32,6.82569984858e+32,7806.348281
0.5,6930,0.8,0.0001,0.3,9.97250534976e+12,1.73211982515e+35,1.71298656683e+35,1.71298656683e+35,1.71298656683e+35,1.71298656683e+35,7735.687541
0.5,6930,0.8,0.0001,0.4,-1.42658428195e+14,6.05056388948e+35,5.983728443e+35,5.983728443e+35,5.983728443e+35,5.983728443e+35,7542.08060475
0.5,6930,0.8,0.0001,0.6,-3.70147891139e+13,6.01296947905e+31,5.94654930613e+31,5.94654930613e+31,5.94654930613e+31,5.94654930613e+31,7704.92046625
0.5,6930,0.8,0.1,0.3,-2.57057045747e+13,1.56660893214e+35,4.533676733e+34,4.533676733e+34,4.533676733e+34,4.533676733e+34,7934.6848115
0.5,6930,0.8,0.1,0.4,-2.35225886646e+13,2.68720636059e+35,7.77662165958e+34,7.77662165958e+34,7.77662165958e+34,7.77662165958e+34,7983.68701425
0.5,6930,0.8,0.1,0.6,-6.82723264351e+13,4.04565964426e+35,1.170790784e+35,1.170790784e+35,1.170790784e+35,1.170790784e+35,8097.4462445
0.5,6930,0.8,0.3,0.3,1.22595350078e+13,5.17491006393e+35,1.35159170981e+35,1.35159170981e+35,1.35159170981e+35,1.35159170981e+35,7718.226187
0.5,6930,0.8,0.3,0.4,-4.43914284819e+13,4.94467621056e+34,1.29145884496e+34,1.29145884496e+34,1.29145884496e+34,1.29145884496e+34,8333.85475275
0.5,6930,0.8,0.3,0.6,-4.10356921766e+13,8.28585099728e+33,2.16411249246e+33,2.16411249246e+33,2.16411249246e+33,2.16411249246e+33,8115.38404125
1,6930,0.01,0.0001,0.3,-3.06810551098e+13,6.93743515956e+29,6.93646408761e+29,6.93646408761e+29,6.93646408761e+29,6.93646408761e+29,8594.778717
1,6930,0.01,0.0001,0.4,1.13209544028e+13,1.15728094112e+31,1.15711894997e+31,1.15711894997e+31,1.15711894997e+31,1.15711894997e+31,8224.726147
1,6930,0.01,0.0001,0.6,5.16363521288e+11,1.67085833374e+31,1.67062445427e+31,1.67062445427e+31,1.67062445427e+31,1.67062445427e+31,7819.856231
1,6930,0.01,0.1,0.3,-6.98720911628e+13,1.46839688421e+33,1.29345527576e+33,1.29345527576e+33,1.29345527576e+33,1.29345527576e+33,8830.924634
1,6930,0.01,0.1,0.4,-4.67418029668e+13,1.93678763576e+34,1.70604297274e+34,1.70604297274e+34,1.70604297274e+34,1.70604297274e+34,8707.47275925
1,6930,0.01,0.1,0.6,-3.72510135488e+13,7.92819361721e+31,6.98364588733e+31,6.98364588733e+31,6.98364588733e+31,6.98364588733e+31,8012.18834475
1,6930,0.01,0.3,0.3,-3.60956890216e+13,1.03527351157e+32,7.51155656544e+31,7.51155656544e+31,7.51155656544e+31,7.51155656544e+31,7948.72105075
1,6930,0.01,0.3,0.4,-3.91139911302e+13,3.34072943047e+31,2.42390805969e+31,2.42390805969e+31,2.42390805969e+31,2.42390805969e+31,7581.1505845
1,6930,0.01,0.3,0.6,-2.77603940746e+14,2.97296380538e+36,2.15707110647e+36,2.15707110647e+36,2.15707110647e+36,2.15707110647e+36,8051.08813675
1,6930,0.1,0.0001,0.3,-4.72385998171e+13,4.29377533594e+32,4.28777449267e+32,4.28777449267e+32,4.28777449267e+32,4.28777449267e+32,7992.65828825
1,6930,0.1,0.0001,0.4,-4.06684932213e+13,1.58986503767e+31,1.58764309307e+31,1.58764309307e+31,1.58764309307e+31,1.58764309307e+31,8111.173698
1,6930,0.1,0.0001,0.6,-3.45613440894e+13,3.79667855677e+30,3.79137244009e+30,3.79137244009e+30,3.79137244009e+30,3.79137244009e+30,8262.5363835
1,6930,0.1,0.1,0.3,1.12549044116e+14,8.54467592974e+36,4.27241275939e+36,4.27241275939e+36,4.27241275939e+36,4.27241275939e+36,8414.2325595
1,6930,0.1,0.1,0.4,-3.33428333508e+13,4.22064824464e+33,2.11036106713e+33,2.11036106713e+33,2.11036106713e+33,2.11036106713e+33,8743.6148885
1,6930,0.1,0.1,0.6,-2.1427950304e+13,5.36553202686e+35,2.6828129798e+35,2.6828129798e+35,2.6828129798e+35,2.6828129798e+35,8145.19512775
1,6930,0.1,0.3,0.3,-3.80070867542e+13,1.78365546576e+33,6.28936259974e+32,6.28936259974e+32,6.28936259974e+32,6.28936259974e+32,7774.10016675
1,6930,0.1,0.3,0.4,4.89354322759e+13,3.10215993603e+36,1.09385523464e+36,1.09385523464e+36,1.09385523464e+36,1.09385523464e+36,7898.42913275
1,6930,0.1,0.3,0.6,-4.35460424449e+13,1.47491262196e+34,5.20070185106e+33,5.20070185106e+33,5.20070185106e+33,5.20070185106e+33,7838.9517705
1,6930,0.8,0.0001,0.3,-3.45781307083e+13,8.71671135226e+32,8.6204252365e+32,8.6204252365e+32,8.6204252365e+32,8.6204252365e+32,7870.724421
1,6930,0.8,0.0001,0.4,-8.06168559364e+13,1.4546074904e+35,1.43853967543e+35,1.43853967543e+35,1.43853967543e+35,1.43853967543e+35,7810.25313625
1,6930,0.8,0.0001,0.6,-4.78292034417e+13,1.30966385976e+33,1.29519711412e+33,1.29519711412e+33,1.29519711412e+33,1.29519711412e+33,7984.80247325
1,6930,0.8,0.1,0.3,-1.19815341755e+15,1.04396256407e+40,3.02116800801e+39,3.02116800801e+39,3.02116800801e+39,3.02116800801e+39,8792.043005
1,6930,0.8,0.1,0.4,-3.35046248197e+13,1.72963254117e+35,5.00545774231e+34,5.00545774231e+34,5.00545774231e+34,5.00545774231e+34,8908.6585795
1,6930,0.8,0.1,0.6,-5.7599024831e+13,5.09526597697e+36,1.4745408592e+36,1.4745408592e+36,1.4745408592e+36,1.4745408592e+36,9134.914824
1,6930,0.8,0.3,0.3,8.72593835758e+13,1.16833670717e+36,3.0514814522e+35,3.0514814522e+35,3.0514814522e+35,3.0514814522e+35,9130.463088
1,6930,0.8,0.3,0.4,-3.2704353609e+13,2.03456782428e+34,5.3139184457e+33,5.3139184457e+33,5.3139184457e+33,5.3139184457e+33,8934.20579275
1,6930,0.8,0.3,0.6,-4.05588081618e+13,1.41063313528e+34,3.68431533627e+33,3.68431533627e+33,3.68431533627e+33,3.68431533627e+33,9057.7583835
2,6930,0.01,0.0001,0.3,-4.20309723646e+13,5.77773249707e+30,5.77692375524e+30,5.77692375524e+30,5.77692375524e+30,5.77692375524e+30,8835.780383
2,6930,0.01,0.0001,0.4,-2.18840055041e+13,6.91168207168e+30,6.91071460453e+30,6.91071460453e+30,6.91071460453e+30,6.91071460453e+30,8713.42165175
2,6930,0.01,0.0001,0.6,1.13582450171e+14,3.96390814086e+33,3.96335329026e+33,3.96335329026e+33,3.96335329026e+33,3.96335329026e+33,8907.49883275
2,6930,0.01,0.1,0.3,1.47100123991e+13,4.81786843476e+33,4.24387807672e+33,4.24387807672e+33,4.24387807672e+33,4.24387807672e+33,8755.6897405
2,6930,0.01,0.1,0.4,-2.60308880086e+13,1.62280531556e+34,1.4294678227e+34,1.4294678227e+34,1.4294678227e+34,1.4294678227e+34,8663.9304245
2,6930,0.01,0.1,0.6,-3.83601010292e+13,6.92251904113e+32,6.09778519115e+32,6.09778519115e+32,6.09778519115e+32,6.09778519115e+32,9151.27121575
2,6930,0.01,0.3,0.3,-3.42074653867e+13,1.50587661636e+32,1.09260763053e+32,1.09260763053e+32,1.09260763053e+32,1.09260763053e+32,8693.559471
2,6930,0.01,0.3,0.4,-3.31410497992e+13,4.23240057953e+33,3.0708712244e+33,3.0708712244e+33,3.0708712244e+33,3.0708712244e+33,8748.63647975
2,6930,0.01,0.3,0.6,-3.03343287054e+13,3.57460687371e+33,2.59360076646e+33,2.59360076646e+33,2.59360076646e+33,2.59360076646e+33,8737.0151135
2,6930,0.1,0.0001,0.3,-9.06966674164e+13,1.03745946898e+33,1.03600954877e+33,1.03600954877e+33,1.03600954877e+33,1.03600954877e+33,9181.74008275
2,6930,0.1,0.0001,0.4,-4.25385640761e+13,4.15790437874e+31,4.15209342438e+31,4.15209342438e+31,4.15209342438e+31,4.15209342438e+31,8778.144172
2,6930,0.1,0.0001,0.6,-9.86052383607e+13,5.27709972383e+33,5.2697246178e+33,5.2697246178e+33,5.2697246178e+33,5.2697246178e+33,8646.871592
2,6930,0.1,0.1,0.3,-3.53729741773e+13,6.32921654528e+32,3.16466367448e+32,3.16466367448e+32,3.16466367448e+32,3.16466367448e+32,8918.97718
2,6930,0.1,0.1,0.4,-4.58240292192e+13,2.29156134473e+35,1.1458007312e+35,1.1458007312e+35,1.1458007312e+35,1.1458007312e+35,8612.52417425
2,6930,0.1,0.1,0.6,-4.15861469187e+13,3.06449275138e+33,1.53227320026e+33,1.53227320026e+33,1.53227320026e+33,1.53227320026e+33,9079.74347725
2,6930,0.1,0.3,0.3,-3.47988865051e+13,6.82833983985e+32,2.40774667707e+32,2.40774667707e+32,2.40774667707e+32,2.40774667707e+32,9310.4801175
2,6930,0.1,0.3,0.4,-3.36510996919e+13,4.43716994898e+32,1.56459424264e+32,1.56459424264e+32,1.56459424264e+32,1.56459424264e+32,9012.1447045
2,6930,0.1,0.3,0.6,-3.39063700107e+13,1.60661162852e+33,5.66508683023e+32,5.66508683023e+32,5.66508683023e+32,5.66508683023e+32,9139.9778825
2,6930,0.8,0.0001,0.3,-3.71274445333e+13,8.40544134769e+32,8.31259356761e+32,8.31259356761e+32,8.31259356761e+32,8.31259356761e+32,9089.447191
2,6930,0.8,0.0001,0.4,3.16881270477e+14,2.12858638788e+37,2.10507369978e+37,2.10507369978e+37,2.10507369978e+37,2.10507369978e+37,9184.71440425
2,6930,0.8,0.0001,0.6,-3.5923546231e+13,5.136336733e+32,5.07959997836e+32,5.07959997836e+32,5.07959997836e+32,5.07959997836e+32,9102.8241905
2,6930,0.8,0.1,0.3,-3.75199737991e+13,8.82675922264e+33,2.55441368261e+33,2.55441368261e+33,2.55441368261e+33,2.55441368261e+33,9184.93079425
2,6930,0.8,0.1,0.4,-5.32072573042e+13,4.10469577477e+35,1.18787550284e+35,1.18787550284e+35,1.18787550284e+35,1.18787550284e+35,8792.38574175
2,6930,0.8,0.1,0.6,-1.18784472817e+14,5.95898042926e+36,1.72449488639e+36,1.72449488639e+36,1.72449488639e+36,1.72449488639e+36,8844.74850575
2,6930,0.8,0.3,0.3,-3.8637686328e+13,1.16491078857e+36,3.0425335804e+35,3.0425335804e+35,3.0425335804e+35,3.0425335804e+35,8825.20400075
2,6930,0.8,0.3,0.4,-3.4149694141e+13,1.01236538197e+33,2.64411292307e+32,2.64411292307e+32,2.64411292307e+32,2.64411292307e+32,9536.125858
2,6930,0.8,0.3,0.6,4.57482293365e+14,3.59716074228e+39,9.39512489702e+38,9.39512489702e+38,9.39512489702e+38,9.39512489702e+38,8797.37875775
